建築家ID,建築家名,家No,家ID（自動）,家の名前,費用,実施エリア,実施時期（年）,延床面積,内容,URL
,,,,,,,,,全体に白い素材で纏めたクセの無い、無味無臭だったかつての空間に、玄関からリビングに掛けての壁に、濃灰の大理石を張り、そこを起点に特注の黒檀突板の建具、ガラスと鏡の袖壁、壁付けのテレビキャビネットを配置し、家具を誂えてゆきました。使える素材や設備は活かしながらも、少しでも違和感がある建具や造作家具は全て作り直し、空間のスタイルを整えました。,
,,,,,,,,,,
,,,,,,,,,玄関とメリハリなく繋がっていた廊下は、きちんと区切りを作り、ギャラリーと収納を兼ねた廊下への変え、通路幅のバランスが悪かったキッチンは、背面の来客用トイレと納戸と併せて、再レイアウトしています。ペットの犬を飼うスペースは洋室1の収納部分を活用し、リビング側からニッチを作りました。主寝室は、逆梁で出っ張った腰壁を活かし、上部に収納を作り、サイドには造り付けの書斎机を、正面にはガラスにテレビを埋め込んだグラスルーチェを採用しています。その他、リビングのエタノール暖炉、浴室アートパネル、特注ＬＥＤ照明、ステンレス製の特注プランターなどの高級ガジェットを組み込みました。,
,,,,,,,,,,
,,,,,,,,,家具、調度品、アート類もほぼ全てのコーディネートのお手伝いも致しました。,
16,各務謙司,3,160003,神戸Ｍ邸,2600万円,,1997年,80平米,神戸三宮の中心地にあるマンションのスケルトンリノベーションです。,https://suvaco.jp/project/CLnf5YVUgD
,,,,,,,,,東京に在住のご家族が、関西旅行の拠点として別荘的に使いたいとのご要望で、内部に色々な特徴を持った空間を作り込みました。,
,,,,,,,,,,
,,,,,,,,,中央に廊下があり、左右に小部屋と水回りが配置される典型的な間取りだったマンションを、水廻りを中央に島状に作り、その周囲に空間を振り分けながら必要な部屋をレイアウトしてゆきました。,
,,,,,,,,,南面する窓側にはチークのルーバー窓を設け、窓外に見える日常的な景色を隠しながら光を取り込む装置とし、その手前にダイニング空間を作りました。リビングは窓のない空間ですが、緩やかなカーブを描く左官壁で囲まれた落ち着いた空間としています。水周りの反対側にはキッチンと洗面が一直線に続いています。背面の緑色の壁の中央から、浴室とトイレへの入り口があいています。主寝室は玄関横にコンパクトな空間を作りました。壁に沿って収納とリビングへの開口を設けて、機能的な空間としています。洗面の先にある子供部屋は3歳のお嬢様が大好きなピンクで纏めた可愛らしい子供室となっています。玄関はコンパクトですが、非日常空間を演出するように高級感のある素材と建具を設け、ホテルライクな空間としています。,
,,,,,,,,,水周りの上部には隙間を設け、室内空間全体が緩やかに繋がっていることを意識できる作りとなっています。カラフルな梯子で子供が遊べるミニロフトとなっています。照明はほぼ全てをＬＥＤで計画しました。,
,,,,,,,,,リノベーションの建築工事だけでなく、ソファー・ダイニングなどの家具やカーテンブラインド類のコーディネートまで任せて頂きました。,
16,各務謙司,4,160004,白金台Ｓ邸,3600万円,,2004年,187平米,港区白金台の築5年のマンションリノベーション（全面リフォーム）です。,https://suvaco.jp/project/tOSFuQj2wh
,,,,,,,,,スケルトンリフォームを前提としてマンションを探していたお施主様と、物件探しからご一緒したプロジェクトです。シンプルに暮らせるモダンインテリアの空間をデザインしました。,
,,,,,,,,,,
,,,,,,,,,かつてはリビングとダイニングに分かれていた空間を、一つのリビングダイニングとして繋げています。広かった玄関は、適度な広さにまで縮小し、来客用のトイレを作りました。,
,,,,,,,,,パブリックとプライベートの空間の間に、書棚が豊富な書斎を作り、長い廊下を本のギャラリー的に使っています。水周りは余分な浴室はコンパクトなシャワールームへと変更し、使い勝手の良い仕様へとリフォームしています。,
,,,,,,,,,寝室は、ＷＩＣを新たに作り、収納量を大幅に増やしながら、ご夫婦が適度な距離感を持って過ごせるるように、二つの寝室を作りました。,
16,各務謙司,5,160005,杉並区Ｓ邸,3800万円,,1989年,174平米,コンクリート・木・鉄でシンプルに構成されたマンションリノベーション。,https://suvaco.jp/project/LklKEhbkFx
,,,,,,,,,築23年の杉並区の高級マンションのスケルトンリノベーション事例です。ベースとなったのはコンクリート打ち放しの壁の力強い素材感で、それにマッチする床材（幅広パテ埋めの野性的なフローリング）、塗装の壁と天井（白・青・朱色・緑等）、鉄製の扉とガラス、ダイナミックな横目突板で作った家具等を、バランスを調整しながらシンプルに再構築したインテリアリフォームです。,
,,,,,,,,,,
,,,,,,,,,約70平米（40畳）のＬＤＫには、コンクリートの壁、白色の壁に溶け込む塗装の造作家具そして大型アイランドキッチンをレイアウトし、各壁・コーナー毎に少しずつ違ったシーンが展開するようなインテリアを目指しました。寝室の並べ方や玄関のレイアウトはオーソドックスですが、素材または特徴的な色彩でそれぞれの空間にユニークな性格を与えています。長い廊下には、本棚と書見用のベンチを設け、書斎としての機能を付加しています。,
,,,,,,,,,空調を始め、給水給湯・ガスも全て引き直し、外壁周りの断熱材も吹き直し、空間としての性能もベースアップしています。,
17,溝部公寛,1,170001,寛の家82,,神奈川県横浜市,,,眺望ある暮らし、集い楽しむ、色彩ある住まい。,https://suvaco.jp/project/JsPUXKCJk6
,,,,,,,,,マンションの一室、無垢の木と間接照明の住空間に、和の要素を加え、個性活きる色、書斎コーナーを配したリノベーション。彩りある住まい。,
17,溝部公寛,2,170002,寛の家62,,神奈川県横浜市,,,伸びやかな軒のあるシンプルな白い家,https://suvaco.jp/project/gVebB3dQul
,,,,,,,,,ご年輩夫婦の為に、これからの生活を考えた必要十分な計画の明るい住まい,
17,溝部公寛,3,170003,寛の家61,,神奈川県横浜市,,,遠方にスカイツリー、傍らの緑に四季を感じる住まい。,https://suvaco.jp/project/2LAj0WvZ75
,,,,,,,,,屋上デッキが繋がるリビングダイニング中心に、３世代が暮らすスキップフロアーの住宅。,
17,溝部公寛,4,170004,寛の家56,,神奈川県横浜市,,,天井高さを活かし、３Ｆワンフロアーに生活空間の全てを内包するインテリアリフォーム,https://suvaco.jp/project/GF7RvOP8WC
17,溝部公寛,5,170005,寛の家52,,神奈川県横浜市,,,柿の木を眺め、デッキを中心とした、ＬＤＫと水廻りの増築インテリアリフォーム,https://suvaco.jp/project/iQhUfslvZm
18,相坂研介,1,180001,目黒の二世帯住宅,,,,,,https://suvaco.jp/project/wasFZX4bkD
18,相坂研介,2,180002,宮坂の二世帯住宅,,,,,,https://suvaco.jp/project/tZd8chUFe5
18,相坂研介,3,180003,横須賀の住宅,,,,,,https://suvaco.jp/project/79GSdHinYt
18,相坂研介,4,180004,千歳台の二世帯住宅,,,,,,https://suvaco.jp/project/VxRkZI6hwQ
18,相坂研介,5,180005,宮坂の住宅,,,,,,https://suvaco.jp/project/tZY5RD3Wne
19,高橋昌宏,1,190001,RW山荘,,,2011年9月,,,https://suvaco.jp/project/0OasvxHmSd
19,高橋昌宏,2,190002,N山荘,,,2011年9月,,,https://suvaco.jp/project/mpgcPyBU6J
19,高橋昌宏,3,190003,S山荘,,,2011年9月,,,https://suvaco.jp/project/mgQMH2gMot
19,高橋昌宏,4,190004,Y山荘,,,2011年9月,,,https://suvaco.jp/project/awlhTUVCWW
19,高橋昌宏,5,190005,O山荘,,,2012年9月,,,https://suvaco.jp/project/LKlr2JrIzV
20,桑原聡,1,200001,Aグランドホテル,,,,,,https://suvaco.jp/project/oGugMwS37H
20,桑原聡,2,200002,レトロハイマート,,,,,,https://suvaco.jp/project/bO8zLK7Nvd
20,桑原聡,3,200003,O邸,,,,,,https://suvaco.jp/project/mjTskgfHnI
20,桑原聡,4,200004,N邸,,,,,,https://suvaco.jp/project/scsyLGFe6T
20,桑原聡,5,200005,T邸,,,,,,https://suvaco.jp/project/S2HtcijUPF
21,仲摩邦彦,1,210001,OT-House,,,,,山の中腹に浮かぶ、,https://suvaco.jp/project/XajGN87Ir5
,,,,,,,,,箱のような住宅です...。,
21,仲摩邦彦,2,210002,H-House,,,,,住宅密集地に建つ二世帯住宅。,https://suvaco.jp/project/wUKhOhb5FO
21,仲摩邦彦,3,210003,YK-House,,神奈川県,,,海と山の境目の崖に建つ、,https://suvaco.jp/project/JrvqbFKvqa
,,,,,,,,,木の箱のような、二世帯住宅です...。,
21,仲摩邦彦,4,210004,酒楽和華　清乃,,東京都小平市,,,線路沿いの、三角形の敷地に建つ、,https://suvaco.jp/project/IpwiYaKZQF
,,,,,,,,,店舗+二世帯住宅です。,
21,仲摩邦彦,5,210005,MS-House,,東京都,,,法律上建てることが可能な、,https://suvaco.jp/project/bBKNRBWR6H
,,,,,,,,,建坪16坪ちょっとの中に、,
,,,,,,,,,二世帯５人が暮らす場所を確保するために、,
,,,,,,,,,「広い家」を目指しました...。,
22,LDKHOME,1,220001,IM-HOUSE,,東京都,,,,https://suvaco.jp/project/Zqus4uiEe3
22,LDKHOME,2,220002,ST-HOUSE,,,,,,https://suvaco.jp/project/Bhp0uucfZ1
22,LDKHOME,3,220003,TH-HOUSE,,,,,,https://suvaco.jp/project/NXT6mBm0qK
22,LDKHOME,4,220004,OG-HOUSE,,,,,,https://suvaco.jp/project/EtUSgd0M6Z
22,LDKHOME,5,220005,YS-HOUSE,,,,,,https://suvaco.jp/project/aHDurWZ6Gj
23,瀬下直樹/ 瀬下淳子,1,230001,T邸,,,2013年,,,https://suvaco.jp/project/BDbuWX5ODm
24,矢板久明 / 矢板直子,1,240001,Villa Stella,,,2014年,,,https://suvaco.jp/project/8MrEI49EA5
24,矢板久明 / 矢板直子,2,240002,緑と風と光の家,,,2014年,,,https://suvaco.jp/project/yU0E50IvYS
24,矢板久明 / 矢板直子,3,240003,南軽井沢の家,,,1992年,,,https://suvaco.jp/project/c0NFqNw03c
24,矢板久明 / 矢板直子,4,240004,PATIO,,,2011年,,,https://suvaco.jp/project/U9zoGKYExL
24,矢板久明 / 矢板直子,5,240005,八雲の家,,,2011年,,,https://suvaco.jp/project/4XegJtyLu7
25,庄野健太郎,1,250001,岡部宿の家,,,,,,https://suvaco.jp/project/8XgNd9u9Ha
25,庄野健太郎,2,250002,ニワノアイダ,,,,,,https://suvaco.jp/project/x9PwRUdIBE
25,庄野健太郎,3,250003,house 丁,,,,,,https://suvaco.jp/project/71IbOTfECM
25,庄野健太郎,4,250004,m&n house,,,,,,https://suvaco.jp/project/0BbEiKKYrJ
25,庄野健太郎,5,250005,＋花見台,,,,,,https://suvaco.jp/project/K7zVtUZfQc
26,津野恵美子,1,260001,高津の家,坪75万程度万円,,2011年竣工,,旗竿型の狭小地に建つ完全分離型の二世帯住宅。南北に設けた小さなテラスに穿たれた大きな開口は、一階と二階の中間の高さに設定され、ほどよく視線をコントロールしつつ、上下階に採光・通風を最大限供給しています。親子で光と風を共有する家です。,https://suvaco.jp/project/TwJuuhjy4n
26,津野恵美子,2,260002,富士山麓の家,,,2008年竣工,,別荘地の豊かな自然の中，既存の傾斜面の肩に二つの箱をずらして置いて，大屋根を掛けた単純な構成です．,https://suvaco.jp/project/iKfgK9pEJR
,,,,,,,,,しかし敷地の高低差を利用することで，北側に鳥の目線で眺望を楽しむ，屋根付きテラスと高天井の落ち着いた空間を，南側に散策の庭につながる，明るく水平性を強調した親密な空間を計画し，都会で暮らす建て主が，自然の高で親しい人々と楽しむための多様なシーンを提供することができました．,
26,津野恵美子,3,260003,スキマのある家,,,2009年竣工,,閑静な住宅地に建つ二世帯住宅の計画です．,https://suvaco.jp/project/QQm2OBtudT
,,,,,,,,,水回りなどの機能諸室が入るコンクリートの箱を三つ北側に，二台の車を置ける大きな箱をひとつ西側道路際に，それぞれ間隔をあけて配置し，そのスキマを覆うように建蔽率ぎりぎりまで，鉄板のリブで構成された架構を乗せ架けるような構成となっています．,
,,,,,,,,,雁行，ヴォリューム間隔，吹抜け，梁間などのスキマやその周辺を，意識的にデザインすることで，同じ屋根の下で暮らす親子の距離や周辺の街との距離が，独立しながらもお互いの気配を伝えあうような心地よさを保てるよう意図しています．,
27,ジェームス・ランビアーシ／林　謙太郎,1,270001,初台レジデンス,,東京都,2014年,204平米,築30年以上経つ鉄筋コンクリート造の住宅のフル・リノベーションです。既存のコンクリートの構造を活かしながら間接光や造作家具を随所に配することで、現代的なライフスタイルに合う住宅にすることが主な狙いでした。リビング・ルームと主寝室の２つのメインスペースは余裕のあるオープン・スペースとし、間接光照明を全体に配置して柔らかな光のある空間にしています。ダーク調の造作家具やニッチのスペースは様々な質感のタイルで彩られ、シンプルながらも変化に富んだ空間をつくることを意図しています。,https://suvaco.jp/project/0DAaUYsaEF
27,ジェームス・ランビアーシ／林　謙太郎,2,270002,広尾H邸,,東京都,2013年,103平米,都心の住宅街にあるマンション住戸のリノベーションです。クライアントは海外在住経験が長いことから、ニューヨークの「プレ・ウォー・アパートメント」のスタイルに見られるようなクラシカルでありながらカジュアルな雰囲気を残した、使いやすい住宅とすることを目指しました。,https://suvaco.jp/project/ziaqhelyfP
,,,,,,,,,具体的にはシンメトリーや軸線を強調した平面計画をつくり、ドア枠や巾木を幅広な部材とすることでクラシカルな雰囲気をつくる一方、壁面に様々な色彩やモザイクタイルといったアクセントとなるマテリアルを配することで、重厚になりすぎずカジュアルな親しみやすい雰囲気をつくるようにしています。,
,,,,,,,,,こうしたデザインの結果、クライアントのライフスタイルにフィットした、本来的な意味でのウエスタン・スタイルの生活が可能な穏やかな住空間となりました。,
27,ジェームス・ランビアーシ／林　謙太郎,3,270003,みどりのK邸,,茨城県,2013年,112平米,この住宅ではスキップフロアによる緩やかな空間の連続や吹抜けによって、一体的なコミュニケーションの取りやすい空間になることを意図しています。,https://suvaco.jp/project/S0YPmn27KY
,,,,,,,,,郊外ののどかな新興住宅街に位置しており、田園的な風情のあるライフスタイルに合った、木のぬくもりの感じられる空間にしています。スキップフロアの上下には収納スペースをつくって、空間をムダ無く活用しています。素材は集成材の柱梁をはじめ、障子やポリカーボネイト、色付きのクロス等様々な素材を使っていますが、全体として木の柔らかな暖かみを活かせるような仕上げにしています。,
27,ジェームス・ランビアーシ／林　謙太郎,4,270004,DKY リノベーション,,東京都,2011年,115平米,都内の高級住宅地にあるマンション住戸のリノベーションです。 障子や和紙といった和風の素材をクラシカルでモダンな意匠でまとめ、現代的なライフスタイルにフィットした「ジャパニーズ・ミッドセンチュリー・モダン」ともいえる落ち着いた雰囲気のある住宅にしました。 木や和紙、ベージュのカーペット等の素材の中に格子の端整なパターンが室内にリズミカルに配置され、障子の柔らかな光によって一日の光の変化の中で様々に異なる表情を見せます。素材の特質を活かしながら抽象的に自然を取り込み、和と洋のエッセンスを合わせた空間とすることを意図しています。,https://suvaco.jp/project/acOr6mYapL
28,奥野公章,1,280001,鴨川の家,,,2012年竣工,,,https://suvaco.jp/project/T9dbOBpzVA
28,奥野公章,2,280002,浄妙寺の家,,,2011年竣工,,,https://suvaco.jp/project/W6XzmaBVXO
28,奥野公章,3,280003,回廊のある家,,,2007年竣工,,大きな中庭を回廊のある家,https://suvaco.jp/project/909NDAjLQd
28,奥野公章,4,280004,見晴らしのよい家,,,2007年竣工,,甲府盆地を一望する見晴らしのよい家,https://suvaco.jp/project/hJUWjxXQh7
28,奥野公章,5,280005,昭和のコートハウス,,,2006年竣工,,4つの中庭をもつ混構造の家,https://suvaco.jp/project/xCZffjKrgP
29,中西ヒロツグ,1,290001,新小岩の家,1500万円,,2005,,建坪わずか9坪の木造2階建てのリフォーム。玄関から裏庭まで、光と風が抜ける通り土間を新設。隣家の屋根越しに採光を得ることで明るいLDKを実現した。,https://suvaco.jp/project/q6S4PcSELI
29,中西ヒロツグ,2,290002,田園調布の家,3200万円,,2012,,築40年の木造住宅リフォーム。中古物件を購入された若い夫婦のために、家族がどこにいても気配を感じられるような、つながりのある空間にリフォームした。,https://suvaco.jp/project/n9c2fPw3QR
29,中西ヒロツグ,3,290003,中目・黒の家,2500万円,,2011,,住宅密集地の旗竿状敷地に建つコートハウス。外からは閉鎖的な印象としながら、中庭や吹抜けを設けて、明るく開放的な内部空間を実現した。,https://suvaco.jp/project/36KGg3WhQw
29,中西ヒロツグ,4,290004,下井草の家-2,3000万円,,2010,,10年前に設計したご両親の家の横に、若い夫婦のために別棟を増築。中庭を挟んで母屋とつながる、コンパクトなスキップフロアの住まいを実現した。,https://suvaco.jp/project/jQBtkSSpSO
30,久保和樹,1,300001,タテカグの家,2400万円,広島県,2015,87平米,4つの庭を持つ木造平屋住宅です。,https://suvaco.jp/project/tatekagu-no-ie
30,久保和樹,2,300002,House-F 中庭ロフト付き住宅,3000万円,広島県,2014,112平米,南側道路のため、建物を敷地北側にレイアウトして中庭も設置し、採光を確保しながら室内のプライバシーを生みだす中庭空間を設けました。中庭を設置することで南面に大きな開口部を設け、庭と繋がる開放的なリビング空間をとしました。,https://suvaco.jp/project/House-F
,,,,,,,,,この住宅の一つの特徴として、各室の天井高を変えることで、内部空間に立体的なずれをつくり、そのギャップから室と室に繋がりのある関係性や、ロフトやデンの空間をつくっています。,
30,久保和樹,3,300003,ドマ ト サンルーム,,東京都,2014年,36平米,築21年のマンションの一室約36�Fを、土間とサンルームを持ったSOHOへリノベーションするプロジェクトです。,https://suvaco.jp/project/cLQE3FiHqS
,,,,,,,,,開口部が限られた縦長の空間において、プライベートを確保しつつ、開口部からの光を巧く奥の部屋まで引込むことをテーマとしました。,
,,,,,,,,,取入れた光を空間の奥まで効率よく運ぶために、壁と天井や家具を含めて基本色を白としました。床は全室モルタル仕上げとして空間を引き締めつつ、統一感を持たせました。,
,,,,,,,,,縦長空間両端のエントランス部分と開口部部分に、バッファーゾーンとして、引戸で間仕切ることが出来る前室を設けました。エントランス側の間仕切り引戸はフラッシュ扉として、外部からのプライバシーを確保しました。開口部側の前室は、サンルームのような明るく暖かい部屋となりました。そして引戸を半透明ポリカの框戸とすることで、プライベートを確保しながら、開口部からの光を柔らかい間接光として室内に届けることができます。３つの部屋は引戸を袖壁に引込むことで、ワンルームの一体空間としても使用することが出来ます。,
,,,,,,,,,長手の壁面には壁面全体の造作家具を設けて、その中にエアコン・キッチン・デスクと、オープンな収納を埋込みました。このように一体的な造作家具に複数機能を埋込むことで、全体がより統一感のとれた空間となります。,
30,久保和樹,4,300004,勾配天井の家,600万円,広島県,2012,70平米,広島駅から10分の丘陵地にある、RCマンション5階建ての4階部分の一室、約80�Fのリノ ベーションプロジェクトです。５階は部分的にしかないため、本物件は4階で最上階となっており、 空間ボリュームを確保するために、25JのLDK部分を勾配天井の屋根としました。 LDKには５畳のコアガリを設けて下部を全面床下収納とし、コアガリ部分の壁面も全面造付け収納 として、大容量の収納スペースを確保しました。 コアガリ収納部分は”ノビルーム”という可動式の個室を設けることによって、季節やイベント等の 状況に応じて、空間の間取りを変更できるプランとしました。コアガリの対面にも全面壁面造作家 具として、キッチンやTVボードなどを一体的にデザインしました。 LDK以外は寝室とハナレ、水廻り部分をコンパクトで機能的に納めて、メリハリのあるプランとし ました。 CSR#001では、床や造付家具塗装や、ダイニングテーブル・寝室収納・ハナレロフトなどを、クラ イアントさんがDIYで組立しました。DIYによる施工は初期のコストダウンを図りながら、セルフメ ンテナンスも可能となり、何より自分で作ることによって、愛着のある空間が生まれます。,https://suvaco.jp/project/dR3MVBoNYM
30,久保和樹,5,300005,可動本棚の家,400万円,東京都,2009,36平米,新宿から西に5kmほどの閑静な住宅街に建つ30代夫婦のための計画。築38年鉄骨マンション最上階8階10坪1LDKのリノベーションです。,https://suvaco.jp/project/fWVO1WK8Kk
,,,,,,,,,10坪という限られた空間の可能性を最大限に引き出し、多様性のある空間を生み出すことをコンセプトとしました。空間を状況に応じて有効に利用するために、可動本棚や可動間仕切りを組合せることによって、10坪の空間にワンルームから２LDKまで様々な関係性を生み出せる空間としました。,
,,,,,,,,,住環境としても夏にワンルーム状態では住居全体に良好な通風を確保し、冬は小部屋化して暖房効率の良い空間を作ることが出来ます。,
,,,,,,,,,可動家具や間仕切り、引戸の可変性・展開性の組み合わせによって、10坪というスペースの中で季節やイベント・家族構成など様々な状況に対応可能な多様性のある空間を生み出すことが出来ました。,
